log_g_err,Object,numax_err,numax,log_g
0.008403101868640206,BD+36_3564,0.0988265225,5.0748189813,1.5797580882596955
0.010354841854892468,BD+39_3577,0.3163318632,13.2683198196,2.033174392187878
0.007832280039421312,BD+43_3064,0.0800544585,4.4047406707,1.5163743333702966
0.011303245834449244,BD+43_3171,0.051451049,1.9822769955,1.1594814813392018
0.01073590494025707,BD+43_3213,0.0632508415,2.5610527397,1.2740420243707629
0.00666992200108087,BD+48_2955,0.0833149848,5.4366086652,1.6117333087214072
0.017080759446156658,HD_174020,0.0974499958,2.4725221876,1.2597814427829648
0.00862773778391007,HD_174829,0.1571667548,7.9505486926,1.7835530017118661
0.005300770398725065,HD_175740,0.7813971652,64.325270427,2.714294037537245
0.0053549033157381885,HD_175740,0.7813971652,64.325270427,2.714005718462043
0.005272836560699605,HD_175740,0.7813971652,64.325270427,2.7130681018348484
0.0053093828463334864,HD_175740,0.7813971652,64.325270427,2.71395740185951
0.00526246322787194,HD_175740,0.7813971652,64.325270427,2.7141561071322897
0.00699439884124291,HD_175884,0.1144894913,7.0690797536,1.731836061583532
0.0064976780136127244,HD_178797,0.0949447565,6.3358286505,1.6813419593595444
0.004098655041325818,HD_178910,0.3051441316,32.0544536614,2.394321613206349
0.006231275209292673,HD_179396,0.4446200737,31.0215653797,2.389040150351365
0.006576952758473508,HD_179959,0.1921370023,12.565450851,2.0046337806149515
0.0035386211839645663,HD_180312,0.2769153543,33.8430128103,2.4328004566331534
0.0035442837689653828,HD_180312,0.2769153543,33.8430128103,2.4326701073961456
0.009497057524111915,HD_180475,0.0951790427,4.3322357235,1.5157798357938366
0.0064012576585537,HD_180658,0.5021030948,33.7666061319,2.4267017129829758
0.009973566360167215,HD_180682,0.084108343,3.6750305633,1.4449733457115617
0.00820437888791463,HD_181022,0.0300174776,1.5788994435,1.0592002258783073
0.0033689917328439713,HD_181069,0.3203112162,41.4610795831,2.517700743057131
0.005615776969246106,HD_181097,0.1436843791,11.1507442934,1.9325068342766358
0.0042250333010169635,HD_181597,0.2506815091,25.8410906814,2.3082851570680454
0.005486941357150918,HD_181778,0.2890841908,22.8536299868,2.2508726590328636
0.006512199521462453,HD_181880,0.0983311633,6.5398723235,1.695127378971554
0.005954452220145211,HD_182531,0.0893162418,6.4642575661,1.6903317936172848
0.004558291116980543,HD_182692,0.469132554,44.3687128644,2.5526368246102407
0.0063069858986540914,HD_182694,1.0178471725,69.7531256844,2.7580821591845166
0.003154582231751313,HD_183124,0.2876104938,39.5825283543,2.500674943207572
0.01054079959896859,HD_185286,0.1017670128,4.2261382444,1.500345382478697
0.02274898580793563,HD_185351,12.8089456148,244.3535235184,3.3014230889482947
0.022830271892881737,HD_185351,12.8089456148,244.3535235184,3.301459447696912
0.02300447148802802,HD_185351,12.8089456148,244.3535235184,3.3048478643707675
0.009632759736629628,HD_187217,0.112106825,4.9786924756,1.59141622379114
0.011129964961044929,HD_188537,0.3426745085,13.4316789312,2.033220539355993
0.017550045084897818,HD_188629,0.1161812873,2.8594768089,1.3266530865674642
0.03275262284212841,HD_188875,0.2542483389,3.3959492909,1.4123892754413552
0.03295438609162204,HD_188875,0.2542483389,3.3959492909,1.4125558254275763
0.0109021215893244,HD_226754,0.1859598026,7.3986513653,1.7468262839774642
