Star_ID,Dnu,Dnu_err,Numax,Numax_err,eps,eps_err
HD_182531,1.0303790538910182,0.004200581130585748,6.465080945267556,0.08931624177636578,0.8644896897235024,0.027293960706728466
HD_176209,4.218540070120476,0.0797696155754466,36.07827845578754,0.7700293923582229,0.8688855081661482,0.0639647722524471
HD_181069,4.429136093312774,0.009283225939297209,41.45967428360941,0.32031121623780684,0.898822844864577,0.020587337359126268
BD+48_295,0.8953098233940573,0.0068208356847463585,5.440132725276065,0.08331498484403516,0.8105480979445374,0.052471147709803705
HD_174829,1.2833572675283929,0.011357043983480081,7.9497984768617815,0.1571667547811646,0.7755393571480604,0.05755641850899791
HD_181880,1.0380377973976795,0.008324731510117664,6.543022284187729,0.09833116330280509,0.7641806590323222,0.048895387272344666
BD+43_317,0.41728859981040545,0.05318387492844148,1.984298734336489,0.05145104900196677,0.8040170562496404,0.17159665699501567
HD_174020,0.5639183284003043,0.01603666749035637,2.47548965209216,0.09744999575175439,0.8926590744791576,0.08467569516842773
HD_189750,4.156962281052604,0.03829971628489321,36.14219592398721,0.5754661116683394,0.9436460960784349,0.07974840612479843
HD_185286,0.7202161705442813,0.007066328212678815,4.226733266919384,0.10176701279630138,0.7275758136813686,0.08183138701360353
HD_181022,0.37622783732353315,0.010867870516783215,1.5797194213025423,0.03001747762631546,0.7033017339945093,0.10056465472259418
BD+39_357,1.6836250688792482,0.01363988821142889,13.266855807051439,0.31633186319569034,0.7409609522947077,0.06299253167276896
HD_182692,4.656371955263934,0.010792609608257217,44.38373487371614,0.469132553990273,0.8736919472802216,0.022597153253640357
HD_180682,0.7677383130078999,0.05478793614233027,3.6778316522927974,0.08410834299831177,1.0678558385995771,0.14565236474481066
HD_180312,4.171849575152272,0.01884379616165323,33.844980704291366,0.27691535428600456,0.9603804991774495,0.03821588755914788
HD_175740,5.930230004063379,0.010423967130974505,64.33345016648104,0.781397165223729,1.0017574684895851,0.019432829648297706
HD_183354,2.6567259425373924,0.0116743978566671,24.73075125143719,0.3707943073028773,0.7424211095150425,0.041177248862450624
HD_189636,2.9103268982809842,0.013248235493462875,25.970144308219286,0.7419635016983703,0.9683943365400706,0.03773314934951546
HD_179396,3.7639636096163986,0.015184449696319163,31.019602634495097,0.44462007370548334,0.9192759332463677,0.03214761017090737
HD_183124,4.3919882085523305,0.013079012313137814,39.585673622735754,0.2876104937870424,0.9451337192882556,0.027794156928306737
HD_181778,2.56112199248617,0.016240616904585947,22.857314085832392,0.2890841908432127,0.7177370325007445,0.05591423463933363
HD_181097,1.612935008406507,0.020474404855629874,11.158336350763424,0.1436843790754534,0.7202717206174712,0.36427254208550497
HD_226754,1.187709408421745,0.012942784192061485,7.40678483572143,0.18595980259156958,0.7353868227670696,0.07705968190684095
HD_175884,1.1229500767666318,0.012178259342122952,7.070009372700724,0.11448949128041812,0.9596164952111355,0.07520625005268627
HD_178910,3.643165803745055,0.017975754367238483,32.06410627929742,0.3051441316038867,0.8282870206845673,0.04662682340099153
BD+42_315,4.221788591943251,0.028504804862306103,38.315943379269186,0.9588694546996247,0.7013731801198373,0.07075600621249865
BD+43_321,0.48750734592283734,0.006958633078022336,2.5632797174106847,0.06325084146747773,1.0124195735754942,0.07326685394355063
HD_178797,1.0336976948195924,0.016337787891016677,6.338307869801699,0.09494475647101228,0.7417358575986034,0.2882671043871425
HD_182694,5.71435782334927,0.014267235676153614,69.7756254063585,1.017847172490138,0.9395935999968813,0.2516523703726711
BD+36_356,0.9490949804411055,0.030097283743239316,5.079062736733746,0.09882652247868091,0.8305746287171062,0.20003026391376488
HD_181597,3.1051475599915173,0.007839730704210299,25.841856049554192,0.2506815090679462,0.9698846263651834,0.022522358391768763
BD+48_290,2.8511597676805804,0.010318892608438912,23.13453453354469,0.7225398099392429,0.8563054208127122,0.08052669688943252
HD_180475,0.8151967316355071,0.004933438363835104,4.335662370014836,0.09517904267184185,0.6835120417941339,0.03470247125924387
HD_188537,1.5481552727523136,0.01087246922323641,13.402868450842114,0.3426745085090518,0.7178796532748889,0.06718021726784126
HD_180658,4.0028426278723375,0.02255380003078609,33.76417769413145,0.5021030948437931,0.9036220453394481,0.04939094518718291
